seg_id	poem_id	average_all_annotators	sen_score	dictionary		
114	112	-0.4444	0	KNU_sentiment		
115	113	-0.7362	14.2857	KNU_sentiment		
116	114	-0.7076	-24	KNU_sentiment		
118	116	-0.3905	0	KNU_sentiment		
119	117	-0.64	-7.69231	KNU_sentiment		
122	119	-0.3057	0	KNU_sentiment		
123	120	-0.7529	-21.0526	KNU_sentiment		
124	121	-0.8429	-14.2857	KNU_sentiment		
137	132	-0.72	-22.2222	KNU_sentiment		
141	136	-0.46	-13.0435	KNU_sentiment		
142	137	-0.4378	-4.7619	KNU_sentiment		
150	145	-0.9464	-25	KNU_sentiment		
153	148	-0.72	12.5	KNU_sentiment		
157	152	-0.7	4	KNU_sentiment		
158	153	-0.0167	-7.14286	KNU_sentiment		
161	156	-0.7067	-14.2857	KNU_sentiment		
167	162	-0.18	-3.44828	KNU_sentiment		
169	164	-0.0986	0	KNU_sentiment		
171	166	-0.1995	-4.54545	KNU_sentiment		
173	168	-0.81	-9.52381	KNU_sentiment		
174	169	-0.6611	-11.7647	KNU_sentiment		
175	170	-0.6311	-5.88235	KNU_sentiment		
180	171	-0.6243	-1.47059	KNU_sentiment		
182	172	-0.5917	-9.09091	KNU_sentiment		
187	172	-0.5754	-5.26316	KNU_sentiment		
188	173	-0.5533	-5.47945	KNU_sentiment		
193	174	-0.3454	-8.06452	KNU_sentiment		
199	176	-0.4714	-3.63636	KNU_sentiment		
202	177	-0.4333	0	KNU_sentiment		
203	178	-0.26	4	KNU_sentiment		
207	180	-0.8356	-8.10811	KNU_sentiment		
210	182	-0.9333	-4.44444	KNU_sentiment		
214	184	-0.195	3.33333	KNU_sentiment		
217	185	-0.1333	5.55556	KNU_sentiment		
218	186	-0.95	-9.83607	KNU_sentiment		
219	186	-0.6783	0	KNU_sentiment		
222	187	-0.5625	-4.25532	KNU_sentiment		
232	191	-0.6783	-2.5	KNU_sentiment		
235	194	-0.5314	0	KNU_sentiment		
240	198	-0.925	0	KNU_sentiment		
241	199	-0.74	-9.52381	KNU_sentiment		
247	203	-0.8044	-4.44444	KNU_sentiment		
248	204	-0.2229	8.33333	KNU_sentiment		
254	210	-0.5417	-7.84314	KNU_sentiment		
255	210	-0.075	0	KNU_sentiment		
259	214	-0.0333	-4.16667	KNU_sentiment		
269	221	-0.0528	0	KNU_sentiment		
271	223	-0.2762	0	KNU_sentiment		
273	225	-0.525	-13.3333	KNU_sentiment		
274	226	-0.1107	0	KNU_sentiment		
276	227	-0.2267	4	KNU_sentiment		
285	234	-0.12	-8.82353	KNU_sentiment		
290	238	-0.5167	7.69231	KNU_sentiment		
293	241	-0.285	0	KNU_sentiment		
305	251	-0.3267	0	KNU_sentiment		
307	253	-0.7684	-4.08163	KNU_sentiment		
309	255	-0.039	-4.65116	KNU_sentiment		
312	257	-0.375	4	KNU_sentiment		
318	263	-0.6	0	KNU_sentiment		
321	266	-0.5486	0	KNU_sentiment		
330	274	-0.82	-12.5	KNU_sentiment		
